year,count
2008.0,2
2009.0,1
2010.0,4
2011.0,3
2012.0,4
2013.0,3
2014.0,6
2015.0,7
2016.0,7
2017.0,11
2018.0,21
2019.0,20
2020.0,41
2021.0,80
2022.0,200
2023.0,661
2024.0,2920
2025.0,5996
